community_name,average_income,fishing_dependency,unemployment_rate,tourism_revenue,marine_biodiversity,fish_stock_health,potential_habitat_restoration,carbon_sequestration_potential,distance_from_offshore_wind_farm,current_offshore_wind_farms,potential_wind_farm_capacity,marine_protected_area
Community E,48831,0.3290494432100918,0.03773553406730983,332720,70.2574681267063,44.12100367122348,0.7202029358027497,0.40184259336150474,54,2,23,False
Community D,35149,0.3739002183403842,0.0958493964045715,499098,79.77720794666831,69.97573425618677,0.5409231326933412,0.3540403899499649,152,1,31,False
Community B,35424,0.10154029511749561,0.10170716394308636,492058,78.06223587395698,59.95655486377379,0.322374188030138,0.40851024730531504,107,2,10,False
Community E,20611,0.17393584681274415,0.0690114166167458,437350,65.04951654429725,37.588212759174795,0.3700570797930763,0.37877431272838935,173,0,10,False
Community E,39460,0.154016507523564,0.03272468786141655,424207,88.07478015071551,83.64783324030715,0.7317591578512601,0.16843665786415823,146,0,44,True
Community E,40277,0.16262864546842842,0.0983619285947243,328396,95.40406880069361,86.68689626031289,0.7411832016270046,0.4814936198894556,99,1,11,True
Community A,22467,0.14399487372698308,0.0978755750747197,256873,59.79815721051662,41.701468572169645,0.529424257552146,0.2925077531932624,40,0,17,True
Community D,38180,0.3055527572172878,0.033977840984897305,252319,98.32704195067767,35.148684789313336,0.4867267987093674,0.10733552336862383,187,1,46,False
Community D,49798,0.15283732033595362,0.055686952197568765,210282,54.213128061004596,70.92568003947999,0.7668572760149355,0.4695130324188769,126,0,49,False
Community E,22627,0.19515813228450518,0.07254631251887489,405079,85.56003286948292,74.03677404516301,0.3553502341963631,0.29761031219926104,194,2,32,False
Community D,21502,0.43824400878747305,0.07744273568346591,455650,78.15395482749403,49.90651555290448,0.7710646103803944,0.28422888185929274,160,0,40,True
Community A,29728,0.3426533439571131,0.033080695025886536,440525,67.45248377866253,43.20770060471221,0.2896102699318456,0.4257169974864823,50,2,10,True
Community E,48117,0.13071090504187471,0.02095111896604828,456168,85.60027401716201,59.93816019168533,0.7093596375892448,0.3458291329328067,117,0,21,False
Community B,23327,0.3669565341789186,0.03325772592715801,201473,54.62537261523495,74.93663655780124,0.7313057643798815,0.2903019721866217,49,0,15,False
Community E,32867,0.41555482690274514,0.054810934869683206,144284,84.47473523056416,45.042228125195706,0.5389908654763741,0.39010692733223695,154,1,17,False
Community C,48349,0.2894493555091173,0.05271574042483547,414204,58.99254885320792,62.886115638942414,0.721790385996975,0.20464915938714576,97,0,28,False
Community A,36013,0.4898659587373976,0.03912155563223954,279468,50.26011470304693,85.73070194100532,0.5607687494553097,0.44315501063184914,113,0,24,False
Community D,39016,0.42628242774207914,0.05106256020506873,233844,95.56300338543628,47.767355705916145,0.4445844231800693,0.11060394760933012,46,2,28,False
Community D,45710,0.29942088123611305,0.04460940897542531,277420,82.16465095132065,39.66679962267179,0.7629366515085343,0.44843301623970644,177,2,49,False
