average_income,fishing_dependency,unemployment_rate,tourism_revenue,fish_stock_health,potential_habitat_restoration,marine_biodiversity,carbon_sequestration_potential,current_offshore_wind_farms,distance_from_offshore_wind_farm,potential_wind_farm_capacity,Ranking,community_name
48117.0,0.1307109050418747,0.0209511189660482,456168.0,59.93816019168533,0.7093596375892448,85.60027401716201,0.3458291329328067,0.0,117.0,21.0,0.7047848476000776,Community E
28066.0,0.3595319744119257,0.0366023410240484,416905.0,72.40875141556143,0.7782720665063299,71.02503554583157,0.2919110677137253,0.0,38.0,13.0,0.6631669643018124,Community D
49798.0,0.1528373203359536,0.0556869521975687,210282.0,70.92568003947999,0.7668572760149355,54.2131280610046,0.4695130324188769,0.0,126.0,49.0,0.6247456555471395,Community D
47528.0,0.105303071967424,0.034016153600564,372965.0,77.38195373320762,0.4557548148499334,52.68807409861232,0.2327389725845274,0.0,33.0,10.0,0.6111358455479293,Community D
34548.0,0.1036680947092717,0.0838649901129332,125206.0,85.13510395328603,0.382521277750295,79.94804977636812,0.1021232700384848,0.0,28.0,46.0,0.5897367618260558,Community A
48244.0,0.4932751836395744,0.1047846095754431,408464.0,78.6020867285713,0.7988867309868879,83.30695684578588,0.4206617374101669,0.0,52.0,12.0,0.5872876876176024,Community A
23327.0,0.3669565341789186,0.033257725927158,201473.0,74.93663655780124,0.7313057643798815,54.62537261523495,0.2903019721866217,0.0,49.0,15.0,0.5660685076399438,Community B
36460.0,0.1281421404700746,0.0665515288769802,155649.0,73.95393111329494,0.7571702697242211,84.54655952013515,0.1218942222581452,0.0,71.0,40.0,0.5564551702178263,Community B
36393.0,0.300507440745864,0.0295872347335211,231843.0,51.94949658464967,0.5668573906235591,54.01083099383234,0.4935452778860696,0.0,62.0,32.0,0.5473574003420386,Community A
31677.0,0.1706474384707946,0.058081340769163,463769.0,75.20083643638768,0.7604814763866197,95.64296892668575,0.1034180384758158,0.0,172.0,46.0,0.5084319015294826,Community C
20612.0,0.1516914092358612,0.034404803750823,405401.0,44.64364353197287,0.2282659816635699,60.35949363654565,0.4795342244785424,0.0,83.0,17.0,0.49830422623608867,Community D
26778.0,0.1009301485081698,0.0980210392426939,435955.0,73.27044649598129,0.6597454850463147,55.91529818757355,0.3623830368187708,0.0,71.0,33.0,0.47025314331628437,Community C
32408.0,0.2142341384450395,0.0722317606489203,324568.0,78.48998705859985,0.3385285483360841,52.57576416707211,0.2885117696329261,0.0,57.0,23.0,0.45461546451252777,Community E
